( calibrated INSTRUMENT4 )
( pointing SATELLITE1 PLANET10 )
( pointing SATELLITE4 PHENOMENON13 )
( pointing SATELLITE0 STAR22 )
( have_image PHENOMENON13 SPECTROGRAPH4 )
( pointing SATELLITE1 STAR14 )
( pointing satellite4 star4 )
( pointing SATELLITE0 PLANET16 )
( have_image PHENOMENON6 SPECTROGRAPH4 )
( have_image PLANET16 INFRARED1 )
( pointing SATELLITE4 STAR15 )
( pointing satellite1 star9 )
( have_image PLANET8 INFRARED1 )
( pointing SATELLITE1 PLANET20 )
( pointing SATELLITE4 PHENOMENON17 )
( have_image PLANET20 THERMOGRAPH2 )
( pointing SATELLITE4 STAR18 )
( have_image PHENOMENON21 THERMOGRAPH2 )
( pointing satellite0 star4 )
( calibrated instrument5 )
( pointing SATELLITE1 STAR3 )
( pointing SATELLITE4 STAR9 )
( pointing SATELLITE1 PLANET11 )
( pointing SATELLITE1 PLANET5 )
