( power_on INSTRUMENT4 )
( power_on INSTRUMENT8 )
( power_on INSTRUMENT0 )
( pointing SATELLITE4 STAR2 )
( calibrated INSTRUMENT4 )
( pointing SATELLITE1 PLANET10 )
( calibrated INSTRUMENT8 )
( pointing SATELLITE4 PHENOMENON13 )
( pointing SATELLITE0 STAR22 )
( have_image PHENOMENON13 SPECTROGRAPH4 )
( have_image STAR22 INFRARED1 )
( pointing SATELLITE1 STAR14 )
( pointing SATELLITE4 PHENOMENON6 )
( have_image STAR14 THERMOGRAPH2 )
( have_image PLANET16 INFRARED1 )
( pointing SATELLITE1 STAR19 )
( pointing SATELLITE4 STAR15 )
( pointing SATELLITE0 PLANET8 )
( have_image STAR19 THERMOGRAPH2 )
( pointing SATELLITE1 PLANET20 )
( pointing SATELLITE4 PHENOMENON17 )
( have_image PHENOMENON17 SPECTROGRAPH4 )
( pointing SATELLITE4 STAR18 )
( have_image PHENOMENON21 THERMOGRAPH2 )
( have_image STAR18 SPECTROGRAPH4 )
( pointing SATELLITE1 STAR3 )
( pointing SATELLITE4 STAR9 )
( have_image STAR9 SPECTROGRAPH4 )
( have_image PLANET11 INFRARED3 )
( pointing SATELLITE1 STAR7 )
( have_image STAR7 INFRARED0 )
( pointing SATELLITE1 PLANET5 )
( pointing SATELLITE4 PHENOMENON24 )
( have_image PLANET5 INFRARED0 )
