( power_on INSTRUMENT28 )
( calibrated INSTRUMENT7 )
( power_on instrument28 )
( pointing SATELLITE0 STAR6 )
( calibrated instrument23 )
( pointing SATELLITE4 STAR11 )
( have_image STAR6 SPECTROGRAPH6 )
( have_image STAR11 THERMOGRAPH7 )
( have_image PLANET7 SPECTROGRAPH6 )
( pointing satellite2 planet18 )
( have_image star2 image4 )
( pointing SATELLITE1 PLANET7 )
( have_image PHENOMENON12 IMAGE4 )
( have_image PLANET7 IMAGE2 )
( pointing SATELLITE4 PHENOMENON5 )
( pointing SATELLITE1 PHENOMENON21 )
( have_image PHENOMENON5 SPECTROGRAPH0 )
( pointing SATELLITE0 STAR10 )
( have_image PHENOMENON21 IMAGE2 )
( pointing SATELLITE1 PLANET13 )
( have_image STAR6 SPECTROGRAPH0 )
( pointing SATELLITE0 PLANET9 )
( have_image PLANET13 IMAGE2 )
( pointing SATELLITE3 PLANET15 )
( power_avail SATELLITE2 )
( pointing SATELLITE0 PLANET13 )
( pointing SATELLITE3 STAR11 )
( power_on INSTRUMENT18 )
( have_image planet7 thermograph7 )
( have_image PLANET22 IMAGE2 )
( pointing SATELLITE4 PLANET18 )
( have_image PLANET13 SPECTROGRAPH6 )
( have_image STAR11 IMAGE3 )
( pointing SATELLITE2 STAR6 )
( power_avail SATELLITE3 )
( pointing SATELLITE0 PLANET22 )
( pointing SATELLITE3 STAR23 )
( pointing SATELLITE2 STAR20 )
( pointing SATELLITE4 PHENOMENON8 )
( pointing SATELLITE3 GROUNDSTATION1 )
( pointing SATELLITE2 STAR23 )
( have_image PHENOMENON8 THERMOGRAPH7 )
( pointing SATELLITE3 PHENOMENON19 )
( pointing SATELLITE0 STAR20 )
( have_image STAR23 INFRARED9 )
( pointing SATELLITE4 PHENOMENON14 )
( pointing SATELLITE0 STAR24 )
( pointing satellite3 planet18 )
( pointing SATELLITE2 PLANET18 )
( pointing SATELLITE3 PHENOMENON8 )
( have_image STAR24 SPECTROGRAPH6 )
( pointing SATELLITE4 PHENOMENON21 )
( pointing SATELLITE3 STAR16 )
( have_image PHENOMENON21 THERMOGRAPH7 )
( have_image groundstation1 spectrograph0 )
( have_image STAR16 IMAGE4 )
