( power_on INSTRUMENT8 )
( power_on INSTRUMENT10 )
( pointing SATELLITE3 GROUNDSTATION1 )
( pointing SATELLITE2 GROUNDSTATION2 )
( pointing SATELLITE1 GROUNDSTATION1 )
( pointing SATELLITE4 STAR0 )
( calibrated INSTRUMENT8 )
( calibrated INSTRUMENT2 )
( calibrated INSTRUMENT7 )
( pointing SATELLITE3 PHENOMENON35 )
( pointing SATELLITE0 PLANET27 )
( pointing SATELLITE1 STAR10 )
( pointing SATELLITE4 PHENOMENON18 )
( have_image PHENOMENON35 IMAGE1 )
( have_image PLANET27 THERMOGRAPH0 )
( have_image PLANET37 THERMOGRAPH0 )
( have_image STAR10 THERMOGRAPH0 )
( have_image PHENOMENON18 THERMOGRAPH0 )
( pointing SATELLITE3 STAR15 )
( pointing SATELLITE2 STAR33 )
( pointing SATELLITE1 PLANET7 )
( have_image STAR15 THERMOGRAPH0 )
( have_image STAR33 IMAGE1 )
( have_image PLANET24 THERMOGRAPH0 )
( pointing SATELLITE3 STAR36 )
( pointing SATELLITE2 STAR21 )
( pointing SATELLITE4 STAR41 )
( have_image STAR36 SPECTROGRAPH2 )
( have_image PHENOMENON4 THERMOGRAPH0 )
( have_image PHENOMENON28 THERMOGRAPH0 )
( have_image STAR41 IMAGE1 )
( pointing SATELLITE2 PLANET22 )
( pointing SATELLITE0 PHENOMENON40 )
( pointing SATELLITE1 PLANET23 )
( pointing SATELLITE4 PHENOMENON29 )
( have_image PLANET23 SPECTROGRAPH2 )
( have_image PHENOMENON29 IMAGE1 )
( pointing SATELLITE0 STAR9 )
( pointing SATELLITE1 PLANET31 )
( pointing SATELLITE2 PLANET14 )
( have_image STAR9 THERMOGRAPH0 )
( have_image PHENOMENON17 THERMOGRAPH0 )
( have_image PLANET14 SPECTROGRAPH2 )
( have_image PHENOMENON25 IMAGE1 )
( pointing SATELLITE0 PHENOMENON6 )
( pointing SATELLITE4 PHENOMENON32 )
( pointing SATELLITE2 STAR0 )
( pointing SATELLITE2 STAR30 )
( have_image PHENOMENON6 THERMOGRAPH0 )
( have_image PLANET38 IMAGE1 )
( have_image PHENOMENON32 THERMOGRAPH0 )
( have_image STAR30 SPECTROGRAPH2 )
( pointing SATELLITE0 PLANET13 )
( pointing SATELLITE3 PLANET34 )
( have_image PLANET34 IMAGE1 )
( have_image PLANET39 IMAGE1 )
( pointing SATELLITE3 PLANET8 )
( have_image PLANET42 SPECTROGRAPH2 )
( have_image PLANET8 THERMOGRAPH0 )
