( power_on INSTRUMENT8 )
( calibrated INSTRUMENT8 )
( pointing SATELLITE3 PLANET31 )
( calibrated INSTRUMENT7 )
( pointing SATELLITE2 STAR21 )
( have_image PLANET31 SPECTROGRAPH2 )
( pointing SATELLITE1 PLANET8 )
( pointing SATELLITE2 PHENOMENON29 )
( have_image PLANET8 THERMOGRAPH0 )
( have_image PHENOMENON29 IMAGE1 )
( pointing SATELLITE1 PLANET34 )
( have_image STAR9 THERMOGRAPH0 )
( pointing SATELLITE1 STAR10 )
( pointing SATELLITE1 PLANET27 )
( have_image PLANET27 THERMOGRAPH0 )
( pointing SATELLITE1 STAR0 )
( have_image PHENOMENON35 IMAGE1 )
( have_image PHENOMENON28 THERMOGRAPH0 )
( pointing SATELLITE1 PHENOMENON18 )
( have_image PHENOMENON18 THERMOGRAPH0 )
( pointing SATELLITE2 STAR15 )
( pointing SATELLITE1 PLANET7 )
( have_image STAR15 THERMOGRAPH0 )
( have_image PLANET7 THERMOGRAPH0 )
( pointing SATELLITE2 PLANET39 )
( pointing SATELLITE1 PLANET37 )
( have_image PLANET39 IMAGE1 )
( have_image PLANET37 THERMOGRAPH0 )
( pointing SATELLITE1 PHENOMENON40 )
( have_image STAR41 IMAGE1 )
( pointing SATELLITE2 PLANET8 )
( have_image STAR5 THERMOGRAPH0 )
( pointing SATELLITE1 PHENOMENON6 )
( have_image PHENOMENON6 THERMOGRAPH0 )
( pointing SATELLITE1 PHENOMENON4 )
( have_image PHENOMENON4 THERMOGRAPH0 )
( have_image PHENOMENON17 THERMOGRAPH0 )
( pointing SATELLITE1 STAR30 )
( pointing SATELLITE2 PHENOMENON25 )
( have_image PHENOMENON25 IMAGE1 )
