( power_on INSTRUMENT0 )
( power_on INSTRUMENT4 )
( power_on INSTRUMENT2 )
( pointing SATELLITE4 GROUNDSTATION2 )
( pointing SATELLITE3 GROUNDSTATION1 )
( pointing SATELLITE1 STAR0 )
( pointing satellite4 phenomenon19 )
( pointing SATELLITE4 PLANET22 )
( pointing SATELLITE0 PHENOMENON24 )
( have_image phenomenon20 infrared0 )
( power_on instrument4 )
( pointing SATELLITE2 PLANET34 )
( pointing SATELLITE3 PHENOMENON38 )
( pointing satellite0 planet46 )
( power_on instrument9 )
( pointing SATELLITE1 PHENOMENON48 )
( pointing SATELLITE0 PLANET35 )
( have_image PLANET22 IMAGE2 )
( pointing satellite4 planet8 )
( have_image PLANET34 INFRARED1 )
( have_image PHENOMENON38 INFRARED0 )
( have_image PHENOMENON48 INFRARED1 )
( have_image phenomenon5 image2 )
( have_image PLANET35 IMAGE2 )
( have_image PHENOMENON5 IMAGE2 )
( pointing SATELLITE2 STAR18 )
( power_on instrument2 )
( pointing SATELLITE3 PLANET46 )
( pointing SATELLITE3 PLANET3 )
( pointing satellite4 star41 )
( pointing satellite4 planet8 )
( have_image PLANET29 IMAGE2 )
( pointing satellite4 phenomenon52 )
( pointing satellite0 planet49 )
( have_image PHENOMENON52 INFRARED1 )
( have_image PLANET49 INFRARED1 )
( have_image STAR36 INFRARED1 )
( have_image PLANET51 IMAGE2 )
( pointing SATELLITE4 PLANET3 )
( pointing SATELLITE4 PLANET45 )
( pointing SATELLITE0 PHENOMENON30 )
( pointing satellite1 planet4 )
( have_image STAR10 INFRARED0 )
( pointing SATELLITE1 PLANET39 )
( have_image STAR28 INFRARED1 )
( have_image PLANET39 INFRARED0 )
( have_image PLANET46 IMAGE2 )
( pointing SATELLITE1 PLANET33 )
( have_image STAR11 INFRARED1 )
( have_image PLANET33 INFRARED0 )
( pointing satellite3 star10 )
( pointing SATELLITE3 PLANET9 )
( pointing SATELLITE2 STAR37 )
( have_image planet22 infrared1 )
( have_image STAR37 INFRARED1 )
( pointing SATELLITE3 PHENOMENON47 )
( have_image PHENOMENON24 INFRARED1 )
