( power_on INSTRUMENT3 )
( pointing SATELLITE2 STAR0 )
( pointing SATELLITE2 PHENOMENON26 )
( have_image PHENOMENON26 INFRARED1 )
( have_image PHENOMENON6 INFRARED0 )
( have_image PLANET9 INFRARED0 )
( pointing SATELLITE2 PLANET51 )
( pointing SATELLITE2 STAR10 )
( have_image PHENOMENON43 INFRARED0 )
( have_image STAR10 INFRARED0 )
( have_image phenomenon24 image2 )
( pointing SATELLITE4 PHENOMENON19 )
( pointing SATELLITE2 PLANET33 )
( pointing satellite3 planet46 )
( have_image PLANET33 INFRARED0 )
( have_image PLANET3 INFRARED0 )
( pointing SATELLITE2 PHENOMENON38 )
( power_on instrument1 )
( have_image PHENOMENON48 INFRARED1 )
( have_image PHENOMENON38 INFRARED0 )
( pointing SATELLITE2 PHENOMENON47 )
( have_image PHENOMENON47 INFRARED0 )
( have_image star25 infrared0 )
( pointing SATELLITE3 PHENOMENON52 )
( pointing SATELLITE2 PLANET50 )
( have_image PHENOMENON52 INFRARED1 )
( pointing SATELLITE3 PHENOMENON31 )
( have_image PHENOMENON31 IMAGE2 )
( have_image PHENOMENON32 IMAGE2 )
( pointing SATELLITE2 STAR40 )
( have_image STAR40 IMAGE2 )
( have_image STAR25 IMAGE2 )
( pointing SATELLITE2 PLANET51 )
( have_image PLANET51 IMAGE2 )
( pointing SATELLITE2 STAR36 )
( pointing satellite4 star41 )
( have_image STAR36 INFRARED1 )
( have_image phenomenon47 infrared0 )
( pointing SATELLITE2 PHENOMENON27 )
( have_image PHENOMENON27 INFRARED0 )
( pointing SATELLITE2 PLANET12 )
( pointing SATELLITE2 PLANET22 )
( have_image STAR11 INFRARED1 )
( pointing SATELLITE3 STAR37 )
( pointing SATELLITE2 PLANET35 )
( have_image STAR37 INFRARED1 )
( have_image PLANET35 IMAGE2 )
( have_image PLANET21 IMAGE2 )
