( calibrated INSTRUMENT7 )
( pointing SATELLITE2 PHENOMENON7 )
( have_image PLANET48 IMAGE1 )
( pointing satellite5 star27 )
( pointing SATELLITE2 STAR49 )
( have_image STAR23 IMAGE1 )
( pointing satellite3 phenomenon44 )
( have_image phenomenon18 spectrograph2 )
( pointing SATELLITE0 STAR16 )
( have_image planet41 spectrograph2 )
( pointing SATELLITE2 STAR21 )
( have_image PHENOMENON18 IMAGE1 )
( pointing SATELLITE3 STAR12 )
( have_image STAR16 IMAGE1 )
( have_image STAR21 SPECTROGRAPH2 )
( pointing satellite5 star52 )
( have_image planet46 image1 )
( pointing SATELLITE6 PHENOMENON44 )
( pointing satellite6 star25 )
( have_image STAR12 INFRARED0 )
( pointing SATELLITE0 PLANET51 )
( have_image PHENOMENON44 IMAGE1 )
( pointing SATELLITE3 PHENOMENON34 )
( pointing SATELLITE2 STAR26 )
( have_image PLANET51 IMAGE1 )
( pointing SATELLITE4 PHENOMENON28 )
( have_image PHENOMENON34 INFRARED0 )
( pointing SATELLITE0 PHENOMENON40 )
( have_image STAR26 SPECTROGRAPH2 )
( have_image STAR3 INFRARED0 )
( have_image STAR39 IMAGE1 )
( have_image STAR25 INFRARED0 )
( have_image star3 image1 )
( pointing SATELLITE2 PLANET17 )
( have_image PLANET20 IMAGE1 )
( pointing SATELLITE6 STAR45 )
( have_image phenomenon36 spectrograph2 )
( pointing SATELLITE3 STAR49 )
( calibrated instrument11 )
( have_image STAR49 INFRARED0 )
( have_image PHENOMENON5 SPECTROGRAPH2 )
( pointing satellite1 star25 )
( pointing SATELLITE2 STAR10 )
( have_image PLANET42 IMAGE1 )
( have_image STAR10 SPECTROGRAPH2 )
( have_image STAR4 SPECTROGRAPH2 )
( have_image star3 infrared0 )
( pointing satellite4 phenomenon34 )
( pointing SATELLITE2 PLANET19 )
