( power_on INSTRUMENT16 )
( have_image star26 spectrograph2 )
( pointing SATELLITE4 STAR0 )
( pointing SATELLITE6 PLANET17 )
( pointing satellite5 star10 )
( calibrated INSTRUMENT7 )
( pointing satellite2 star3 )
( calibrated INSTRUMENT2 )
( calibrated instrument10 )
( pointing SATELLITE2 STAR26 )
( pointing SATELLITE0 PHENOMENON44 )
( have_image PLANET17 SPECTROGRAPH2 )
( have_image PHENOMENON44 IMAGE1 )
( have_image STAR50 SPECTROGRAPH2 )
( pointing SATELLITE6 PHENOMENON18 )
( pointing SATELLITE5 STAR21 )
( pointing satellite3 planet46 )
( have_image PLANET20 IMAGE1 )
( pointing SATELLITE6 STAR24 )
( have_image star26 image1 )
( pointing SATELLITE2 STAR4 )
( pointing SATELLITE5 PLANET15 )
( power_on instrument10 )
( pointing satellite5 planet31 )
( pointing SATELLITE6 STAR45 )
( pointing satellite3 phenomenon6 )
( have_image PHENOMENON7 SPECTROGRAPH2 )
( have_image PHENOMENON30 IMAGE1 )
( pointing SATELLITE6 PHENOMENON8 )
( pointing SATELLITE2 PLANET19 )
( pointing SATELLITE0 STAR3 )
( pointing SATELLITE4 STAR52 )
( have_image STAR25 INFRARED0 )
( pointing SATELLITE2 STAR49 )
( pointing SATELLITE0 PLANET33 )
( pointing SATELLITE5 PLANET43 )
( have_image PHENOMENON40 IMAGE1 )
( pointing satellite4 star3 )
( pointing satellite3 phenomenon44 )
( have_image PLANET43 IMAGE1 )
( pointing satellite2 star3 )
( have_image PHENOMENON28 SPECTROGRAPH2 )
( pointing SATELLITE2 STAR10 )
( pointing SATELLITE0 PHENOMENON32 )
( calibrated instrument13 )
( pointing SATELLITE4 PLANET41 )
( have_image STAR10 SPECTROGRAPH2 )
( pointing SATELLITE2 PHENOMENON36 )
( have_image phenomenon32 spectrograph2 )
( pointing SATELLITE0 PLANET51 )
( have_image STAR23 IMAGE1 )
( pointing SATELLITE4 PLANET31 )
( have_image PHENOMENON36 INFRARED0 )
( have_image PLANET51 IMAGE1 )
( have_image STAR13 IMAGE1 )
( pointing SATELLITE2 PHENOMENON11 )
( have_image star26 spectrograph2 )
( pointing SATELLITE6 STAR47 )
( have_image PHENOMENON11 SPECTROGRAPH2 )
( have_image PLANET42 IMAGE1 )
( pointing satellite0 planet41 )
