( power_on INSTRUMENT7 )
( pointing SATELLITE6 PLANET41 )
( pointing SATELLITE2 STAR1 )
( pointing SATELLITE0 PLANET48 )
( have_image PLANET41 IMAGE1 )
( calibrated INSTRUMENT7 )
( pointing SATELLITE2 PHENOMENON7 )
( pointing SATELLITE6 STAR52 )
( pointing SATELLITE2 PLANET51 )
( pointing SATELLITE6 PHENOMENON30 )
( pointing SATELLITE2 STAR49 )
( pointing SATELLITE2 PLANET17 )
( have_image PHENOMENON30 IMAGE1 )
( have_image STAR23 IMAGE1 )
( pointing SATELLITE2 PHENOMENON28 )
( pointing SATELLITE2 STAR21 )
( have_image PHENOMENON18 IMAGE1 )
( have_image STAR16 IMAGE1 )
( have_image STAR21 SPECTROGRAPH2 )
( pointing SATELLITE6 PHENOMENON44 )
( pointing SATELLITE0 PLANET51 )
( pointing SATELLITE2 STAR49 )
( have_image PHENOMENON44 IMAGE1 )
( pointing SATELLITE3 PHENOMENON34 )
( pointing SATELLITE2 STAR26 )
( have_image PLANET51 IMAGE1 )
( pointing SATELLITE4 PHENOMENON28 )
( have_image PHENOMENON34 INFRARED0 )
( pointing SATELLITE0 PHENOMENON40 )
( have_image PHENOMENON28 SPECTROGRAPH2 )
( pointing SATELLITE3 STAR12 )
( pointing SATELLITE2 STAR3 )
( have_image PHENOMENON40 IMAGE1 )
( pointing SATELLITE4 PHENOMENON8 )
( have_image STAR3 INFRARED0 )
( pointing SATELLITE4 PLANET35 )
( have_image STAR39 IMAGE1 )
( have_image STAR25 INFRARED0 )
( have_image PLANET20 IMAGE1 )
( have_image PLANET35 SPECTROGRAPH2 )
( pointing SATELLITE3 STAR49 )
( pointing SATELLITE0 PHENOMENON32 )
( pointing SATELLITE4 PHENOMENON5 )
( have_image STAR45 IMAGE1 )
( have_image STAR49 INFRARED0 )
( pointing SATELLITE2 PHENOMENON11 )
( have_image PHENOMENON32 IMAGE1 )
( have_image PHENOMENON5 SPECTROGRAPH2 )
( pointing SATELLITE6 PLANET14 )
( have_image PHENOMENON11 SPECTROGRAPH2 )
( pointing SATELLITE4 STAR9 )
( have_image PLANET14 IMAGE1 )
( pointing SATELLITE2 STAR10 )
( have_image PLANET42 IMAGE1 )
( pointing SATELLITE6 STAR4 )
( have_image STAR10 SPECTROGRAPH2 )
( have_image PHENOMENON8 IMAGE1 )
( pointing SATELLITE2 PLANET31 )
( pointing SATELLITE0 PLANET43 )
( have_image PLANET31 SPECTROGRAPH2 )
( have_image PLANET43 IMAGE1 )
( pointing SATELLITE0 STAR13 )
