( power_on INSTRUMENT4 )
( power_on INSTRUMENT8 )
( power_on INSTRUMENT0 )
( pointing SATELLITE4 STAR2 )
( pointing SATELLITE0 STAR0 )
( calibrated INSTRUMENT4 )
( pointing SATELLITE1 PLANET10 )
( calibrated INSTRUMENT8 )
( calibrated INSTRUMENT0 )
( pointing SATELLITE4 PHENOMENON13 )
( pointing SATELLITE0 STAR22 )
( have_image PLANET10 THERMOGRAPH2 )
( have_image PHENOMENON13 SPECTROGRAPH4 )
( have_image STAR22 INFRARED1 )
( pointing SATELLITE1 STAR14 )
( pointing SATELLITE4 PHENOMENON6 )
( pointing SATELLITE0 PLANET16 )
( have_image STAR14 THERMOGRAPH2 )
( have_image PHENOMENON6 SPECTROGRAPH4 )
( have_image PLANET16 INFRARED1 )
( pointing SATELLITE1 STAR19 )
( pointing SATELLITE4 STAR15 )
( pointing SATELLITE0 PLANET8 )
( have_image STAR19 THERMOGRAPH2 )
( have_image STAR15 INFRARED3 )
( have_image PLANET8 INFRARED1 )
( pointing SATELLITE1 PLANET20 )
( pointing SATELLITE4 PHENOMENON17 )
( have_image PLANET20 THERMOGRAPH2 )
( have_image PHENOMENON17 SPECTROGRAPH4 )
( pointing SATELLITE1 PHENOMENON21 )
( pointing SATELLITE4 STAR18 )
( have_image PHENOMENON21 THERMOGRAPH2 )
( have_image STAR18 SPECTROGRAPH4 )
( pointing SATELLITE1 STAR3 )
( pointing SATELLITE4 STAR9 )
( pointing SATELLITE1 PLANET11 )
( have_image STAR9 SPECTROGRAPH4 )
( have_image PLANET11 INFRARED3 )
( pointing SATELLITE4 STAR4 )
( pointing SATELLITE1 STAR7 )
( pointing SATELLITE4 STAR23 )
( have_image STAR7 INFRARED0 )
( have_image STAR23 SPECTROGRAPH4 )
( pointing SATELLITE1 PLANET5 )
( pointing SATELLITE4 PHENOMENON24 )
( have_image PLANET5 INFRARED0 )
( have_image PHENOMENON24 INFRARED0 )
