( fuel-level plane3 fl5 )
( in PERSON24 PLANE2 )
( at PLANE5 CITY20 )
( fuel-level PLANE5 FL2 )
( at PLANE5 CITY23 )
( fuel-level plane5 fl6 )
( in person20 plane5 )
( fuel-level plane4 fl2 )
( fuel-level PLANE5 FL0 )
( at PERSON29 CITY23 )
( fuel-level plane1 fl6 )
( in PERSON7 PLANE2 )
( at person14 city2 )
( fuel-level PLANE4 FL1 )
( at PERSON5 CITY8 )
( fuel-level PLANE3 FL1 )
( at PLANE1 CITY7 )
( fuel-level PLANE1 FL0 )
( in PERSON9 PLANE1 )
( fuel-level PLANE4 FL1 )
( fuel-level PLANE1 FL1 )
( at PLANE5 CITY4 )
( fuel-level PLANE5 FL0 )
( at PERSON17 CITY4 )
( at PLANE3 CITY16 )
( fuel-level PLANE3 FL0 )
( at PERSON8 CITY16 )
( in person16 plane1 )
( fuel-level PLANE5 FL1 )
( fuel-level PLANE1 FL1 )
( fuel-level PLANE4 FL1 )
( at PLANE5 CITY18 )
( fuel-level PLANE5 FL0 )
( fuel-level PLANE1 FL2 )
( at PERSON11 CITY18 )
( in PERSON13 PLANE3 )
( fuel-level PLANE5 FL1 )
( at PLANE1 CITY20 )
( fuel-level PLANE1 FL0 )
( at PLANE4 CITY1 )
( fuel-level PLANE4 FL0 )
( at PERSON9 CITY20 )
( at PLANE3 CITY0 )
( at plane5 city23 )
( fuel-level PLANE3 FL0 )
( at PERSON13 CITY0 )
( fuel-level PLANE4 FL1 )
( in PERSON15 PLANE5 )
( fuel-level PLANE5 FL1 )
( fuel-level PLANE1 FL1 )
( at PLANE5 CITY7 )
( fuel-level PLANE5 FL0 )
( at PLANE3 CITY5 )
( fuel-level PLANE3 FL0 )
( in PERSON25 PLANE3 )
( fuel-level PLANE3 FL1 )
( at PLANE1 CITY8 )
( fuel-level PLANE1 FL0 )
( in PERSON19 PLANE1 )
( fuel-level PLANE5 FL2 )
( fuel-level PLANE1 FL1 )
( in PERSON22 PLANE5 )
( fuel-level PLANE5 FL1 )
( fuel-level PLANE2 FL1 )
( at PLANE1 CITY5 )
( fuel-level PLANE1 FL0 )
( at PLANE2 CITY7 )
( fuel-level PLANE2 FL0 )
( at plane2 city9 )
( fuel-level PLANE2 FL1 )
( at PLANE1 CITY10 )
( fuel-level PLANE1 FL0 )
( fuel-level PLANE1 FL1 )
( at PERSON10 CITY5 )
( fuel-level PLANE5 FL1 )
( in PERSON23 PLANE1 )
( fuel-level PLANE1 FL1 )
( at PLANE5 CITY13 )
( fuel-level PLANE5 FL0 )
( at person30 city0 )
